District,Year,Rainfall
Chennai,2023,172.96666666666667
Kancheepuram,2023,145.86666666666667
Chengalpattu,2023,112.86666666666667
Tiruvallur,2023,148.23333333333335
Cuddalore,2023,97.66666666666667
Villupuram,2023,108.43333333333334
Kallakurichi,2023,76.76666666666667
Vellore,2023,94.09999999999998
Ranipet,2023,110.16666666666667
Tirupathur,2023,77.66666666666667
Tiruvannamalai,2023,96.63333333333333
Salem,2023,63.633333333333326
Namakkal,2023,51.5
Dharmapuri,2023,59.46666666666667
Krishnagiri,2023,65.76666666666667
Coimbatore,2023,135.93333333333334
Tiruppur,2023,15.966666666666667
Erode,2023,30.566666666666666
Tiruchirapalli,2023,47.96666666666667
Karur,2023,40.6
Perambalur,2023,79.36666666666666
Ariyalur,2023,60.86666666666667
Pudukkottai,2023,66.60000000000001
Thanjavur,2023,67.83333333333333
Tiruvarur,2023,53.79999999999999
Nagapattinam,2023,40.43333333333333
Mayiladuthurai,2023,43.76666666666667
Madurai,2023,73.56666666666666
Theni,2023,45.36666666666667
Dindigul,2023,69.33333333333333
Ramanathapuram,2023,13.466666666666669
Virudhunagar,2023,51.73333333333333
Sivagangai,2023,75.23333333333333
Tirunelveli,2023,35.1
Tenkasi,2023,39.4
Thoothukudi,2023,6.966666666666666
The Nilgiris,2023,190.43333333333337
Kanniyakumari,2023,37.43333333333333
2 12,2023,16.5
Chennai 259.8,2023,426.5
Kancheepuram 369.5,2023,444.2
Chengalpattu 281.2,2023,337.09999999999997
Tiruvallur 291.6,2023,395.79999999999995
Cuddalore 83.3,2023,213.05
Villupuram 230.8,2023,310.85
Kallakurichi 154.1,2023,215.75
Vellore 291.3,2023,324.05
Ranipet 252.3,2023,324.45
Tirupathur 254.2,2023,269.15
Tiruvannamalai 338.1,2023,346.65
Salem 188.7,2023,233.3
Namakkal 144.3,2023,198.5
Dharmapuri 182.8,2023,213.35
Krishnagiri 171.2,2023,209.55
Coimbatore 180.3,2023,373.75
Tiruppur 25.7,2023,93.1
Erode 125.7,2023,157.85
Tiruchirapalli 126.3,2023,176.5
Karur 105.5,2023,151.65
Perambalur 59.3,2023,171.0
Ariyalur 71.9,2023,145.65
Pudukkottai 98.8,2023,190.70000000000002
Thanjavur 118.9,2023,203.39999999999998
Tiruvarur 67.7,2023,147.4
Nagapattinam 36.4,2023,129.35
Mayiladuthurai 65.2,2023,126.8
Madurai 86.1,2023,231.15
Theni 116.9,2023,222.55
Dindigul 164.7,2023,249.5
Ramanathapuram 52.6,2023,102.05
Virudhunagar 85.0,2023,184.95
Sivagangai 109.6,2023,213.95
Tirunelveli 103.6,2023,186.8
Tenkasi 54.4,2023,162.14999999999998
Thoothukudi 35.5,2023,52.349999999999994
The Nilgiris 201.7,2023,464.0
Kanniyakumari 218.1,2023,434.15
Chennai,2023,701.1666666666666
Kancheepuram,2023,441.9666666666667
Chengalpattu,2023,479.9333333333334
Tiruvallur,2023,484.56666666666666
Cuddalore,2023,341.8
Villupuram,2023,213.79999999999998
Kallakurichi,2023,122.16666666666667
Vellore,2023,166.29999999999998
Ranipet,2023,212.16666666666666
